Name,City,Material,Floors,Height,CurrentStatus,CompletedYear,StartYear,YearsToBuild
Harrah`s Waterfront Tower,Atlantic City,concrete,44,160.02,completed,2008,2006,2
Trump Plaza Residences,Jersey City,concrete,55,162.16,completed,2008,2006,2
RBC Plaza,Raleigh,concrete,32,163.98,completed,2008,2006,2
"Vizcayne, North Tower",Miami,concrete,49,164,completed,2008,2005,3
The Tower at 15 Central Park West,New York City,concrete,35,167.64,completed,2008,2005,3
Trump Royale,Sunny Isles Beach,concrete,43,167.64,completed,2008,2005,3
Quantum on the Bay South Tower,Miami,concrete,51,168.86,completed,2008,2005,3
Jade on the Beach,Sunny Isles Beach,concrete,51,175,completed,2008,2004,4
The Mansion on Peachtree,Atlanta,concrete,42,176.79,completed,2008,2006,2
360 Condominiums,Austin,concrete,45,177.1,completed,2008,2006,2
Icon Brickell North Tower,Miami,concrete,58,178.62,completed,2008,2006,2
Sky House,New York City,concrete,54,179.33,completed,2008,2005,3
One Rincon Hill South Tower,San Francisco,concrete,54,184.41,completed,2008,2006,2
Trump International Hotel & Tower 1,Las Vegas,concrete,64,189.59,completed,2008,2005,3
Infinity at Brickell,Miami,concrete,52,192,completed,2008,2005,3
Encore,Las Vegas,concrete,52,192.33,completed,2008,2006,2
900 Biscayne Bay,Miami,concrete,63,198,completed,2008,2005,3
Sovereign,Atlanta,concrete,48,202.69,completed,2008,2006,2
Comcast Center,Philadelphia,composite,57,296.73,completed,2008,2005,3
Park Lafayette North Tower,Milwaukee,concrete,20,65.84,completed,2009,2007,2
Park Lafayette South Tower,Milwaukee,concrete,20,65.84,completed,2009,2007,2
Museum Park Tower II,Chicago,concrete,20,72.03,completed,2009,2007,2
The BreakWater,Milwaukee,concrete,21,79.25,completed,2009,2007,2
The Standard,New York City,composite,19,79.5,completed,2009,2005,4
SouthShore Condominiums Tower 1,Newport,concrete,21,83.21,completed,2009,2007,2
Blue Chip Casino Spa Blu Tower,Michigan City,concrete,23,85.22,completed,2009,2007,2
The Olivian,Seattle,concrete,27,90.5,completed,2009,2006,3
The Edge South Tower,New York City,concrete,30,90.83,completed,2009,2007,2
SoNo West Tower,Chicago,concrete,27,93.2,completed,2009,2007,2
Michigan Avenue Tower II,Chicago,concrete,28,94.67,completed,2009,2007,2
theWit Hotel,Chicago,concrete,26,94.79,completed,2009,2007,2
W Hoboken Hotel and Residential Condominiums,Hoboken,concrete,27,95.5,completed,2009,2005,4
Two Northside Piers,New York City,concrete,30,100.28,completed,2009,2008,1
Museum Park Place 2,Chicago,concrete,30,100.4,completed,2009,2007,2
W Downtown Atlanta Hotel & Residences,Atlanta,concrete,28,100.9,completed,2009,2005,4
Concerto Tower 1,Los Angeles,concrete,28,101.2,completed,2009,2007,2
255 East 74th Street,New York City,concrete,30,103,completed,2009,2007,2
Freeport-McMoRan Center,Phoenix,concrete/steel,26,104.14,completed,2009,2007,2
Greektown Casino Hotel,Detroit,concrete,30,106.1,completed,2009,2006,3
Legg Mason Tower,Baltimore,concrete,24,106.68,completed,2009,2008,1
1600 Museum Park,Chicago,concrete,32,108.9,completed,2009,2007,2
Ovation,St. Petersburg (FL),concrete,26,109.1,completed,2009,2007,2
Escala,Seattle,concrete,30,109.7,completed,2009,2006,3
West 8th,Seattle,steel,28,109.73,completed,2009,2007,2
Trump International Hotel Waikiki Beach Walk,Honolulu,concrete,39,112.09,completed,2009,2006,3
New United States Mission to the United Nations,New York City,concrete,26,112.16,completed,2009,2006,3
Terminus 200,Atlanta,concrete,25,112.65,completed,2009,2007,2
Astoria Tower,Chicago,concrete,30,113.88,completed,2009,2007,2
One Lincoln Park,Denver,concrete,32,114,completed,2009,2006,3
Signature Place,St. Petersburg (FL),concrete,36,116.1,completed,2009,2007,2
WaterMarke Tower,Los Angeles,concrete,35,120.4,completed,2009,2006,3
Bayside at the Embarcadero,San Diego,concrete,36,120.4,completed,2009,2006,3
Two Alliance Center,Atlanta,concrete/steel,25,120.52,completed,2009,2007,2
Bank of the West Tower,Sacramento,steel,25,120.7,completed,2009,2007,2
10 Rittenhouse Square,Philadelphia,concrete,33,120.7,completed,2009,2007,2
OHM,New York City,concrete,34,121.18,completed,2009,2008,1
2727 Kirby,Houston,concrete,30,123.45,completed,2009,2006,3
Ashton,Austin,concrete,36,125.5,completed,2009,2006,3
The Infinity II,San Francisco,concrete,41,128.02,completed,2009,2005,4
Vantage Pointe Condominium,San Diego,concrete,41,128.02,completed,2009,2006,3
Toren,New York City,steel,37,130.25,completed,2009,2007,2
Spring,Austin,concrete,43,132.29,completed,2009,2007,2
Crystal Point,Jersey City,concrete,42,132.9,completed,2009,2007,2
Trump Hollywood,Hollywood,concrete,40,135.03,completed,2009,2007,2
Omni Fort Worth Hotel,Fort Worth,concrete,33,136.25,completed,2009,2006,3
Olive 8,Seattle,concrete,39,138.69,completed,2009,2006,3
Element,Tampa,concrete,34,140.21,completed,2009,2007,2
3630 Peachtree Road,Atlanta,concrete,40,142.95,completed,2009,2007,2
Spire,Denver,concrete,41,147.22,completed,2009,2007,2
Panorama Tower III,Las Vegas,concrete,42,147.32,completed,2009,2007,2
"The Residences at the Ritz Carlton, Westchester - North Tower",White Plains,concrete,44,147.52,completed,2009,2006,3
Memorial Hermann Tower,Houston,concrete,35,152.4,completed,2009,2006,3
One Park Place,Houston,concrete,37,152.71,completed,2009,2007,2
600 North Lake Shore Drive - South Tower,Chicago,concrete,47,156.36,completed,2009,2005,4
785 8th Avenue,New York City,concrete,42,157.44,completed,2009,2005,4
The Residences at the Ritz-Carlton,Philadelphia,concrete,46,157.89,completed,2009,2007,2
Mandarin Oriental Hotel Las Vegas,Las Vegas,concrete/steel,47,164.29,completed,2009,2007,2
Jade Ocean,Sunny Isles Beach,concrete,51,166,completed,2009,2006,3
Streeter Place,Chicago,concrete,55,168.76,completed,2009,2007,2
Paramount at Edgewater Square,Miami,concrete,47,169.14,completed,2009,2006,3
VDARA,Las Vegas,concrete,55,169.47,completed,2009,2006,3
The Atlantic,Atlanta,concrete,46,175.87,completed,2009,2007,2
The Clare at Water Tower,Chicago,concrete,53,179.48,completed,2009,2006,3
Planet Hollywood Towers,Las Vegas,concrete,50,182,completed,2009,2007,2
Aria Resort & Casino,Las Vegas,concrete,60,182.88,completed,2009,2006,3
Epic Residences & Hotel,Miami,concrete,54,183.2,completed,2009,2005,4
353 North Clark,Chicago,composite,44,189.99,completed,2009,2006,3
Mint at Riverfront,Miami,concrete,55,192.28,completed,2009,2006,3
155 North Wacker,Chicago,composite,45,194.57,completed,2009,2007,2
Millennium Tower,San Francisco,concrete,58,196.6,completed,2009,2004,5
Silver Towers East,New York City,concrete,58,199.17,completed,2009,2007,2
Silver Towers West,New York City,concrete,58,199.17,completed,2009,2007,2
Marquis,Miami,concrete,63,207,completed,2009,2005,4
Waldorf Astoria Chicago,Chicago,concrete,60,209,completed,2009,2006,3
One Museum Park,Chicago,concrete,62,221.34,completed,2009,2005,4
300 North LaSalle,Chicago,composite,60,239.12,completed,2009,2006,3
Aqua,Chicago,concrete,86,261.75,completed,2009,2007,2
Bank of America Tower,New York City,composite,55,365.8,completed,2009,2004,5
Trump International Hotel & Tower,Chicago,concrete,98,423.22,completed,2009,2005,4
"Grange Mutual Insurance Headquarters, South Building",Columbus,steel,10,43.89,completed,2010,2006,4
930 Poydras Residential Tower,New Orleans,concrete,21,73.8,completed,2010,2008,2
The James New York,New York City,concrete,17,77.72,completed,2010,2008,2
100 11th Avenue,New York City,concrete,22,80.67,completed,2010,2007,3
Lexington House,New York City,concrete,24,82,completed,2010,2008,2
360 State Street,New Haven,composite,31,91.44,completed,2010,2008,2
EnV,Chicago,concrete,28,94,completed,2010,2008,2
Roberts Tower at Mayfair Plaza,St. Louis,concrete,25,95.1,completed,2010,2007,3
Mirabella,Portland,concrete,30,99.06,completed,2010,2008,2
Three PNC Plaza,Pittsburgh,concrete/steel,23,105,completed,2010,2007,3
Azure,New York City,concrete,32,107.3,completed,2010,2007,3
Walton on the Park South Tower,Chicago,concrete,31,109.7,completed,2010,2008,2
Alta at K Station - West Tower,Chicago,concrete,37,115.31,completed,2010,2008,2
Wachovia Tower,Phoenix,concrete,27,117.3,completed,2010,2007,3
Loews Midtown,Atlanta,concrete,39,118.19,completed,2010,2007,3
The Lex,Chicago,concrete,35,118.32,completed,2010,2007,3
Avalon Fort Greene,New York City,concrete,41,119.79,completed,2010,2008,2
Four Seasons Residences Austin,Austin,concrete,32,122.25,completed,2010,2008,2
DKLB BKLN,New York City,concrete,34,123.45,completed,2010,2008,2
Aspira Apartments,Seattle,concrete,37,124,completed,2010,2007,3
10 East Delaware,Chicago,concrete,35,126.39,completed,2010,2007,3
The Pinnacle at Symphony Place,Nashville,concrete,29,127.1,completed,2010,2007,3
Alta at K Station - East Tower,Chicago,concrete,41,127.14,completed,2010,2008,2
Hyatt Regency Orlando Expansion Tower,Orlando,concrete,31,130.35,completed,2010,2008,2
Silver Tower,Chicago,concrete,39,132.08,completed,2010,2007,3
Element New York Times Square West,New York City,concrete,39,135,completed,2010,2008,2
200 Squared,Chicago,concrete,42,136.86,completed,2010,2008,2
Veer Towers East,Las Vegas,composite,36,137,completed,2010,2006,4
Veer Towers West,Las Vegas,composite,36,137,completed,2010,2006,4
510 Madison,New York City,steel,31,137.87,completed,2010,2007,3
Trump SoHo Hotel Condominium,New York City,concrete,42,138.38,completed,2010,2006,4
8 Stone Street,New York City,concrete,43,139.7,completed,2010,2008,2
505 West 37th Street East Tower,New York City,concrete,43,143.87,completed,2010,2007,3
W Austin Hotel & Residences,Austin,concrete,36,145.27,completed,2010,2008,2
CassaNY,New York City,concrete,45,145.64,completed,2010,2007,3
The Century,Los Angeles,concrete,42,145.7,completed,2010,2007,3
1 Bank of America Center,Charlotte,composite,32,147.52,completed,2010,2007,3
1075 Peachtree Office Tower,Atlanta,concrete,38,148.74,completed,2010,2007,3
Hess Tower,Houston,concrete,29,149.35,completed,2010,2008,2
235 West Van Buren,Chicago,concrete,46,149.41,completed,2010,2007,3
1450 BRICKELL,Miami,concrete,34,152.53,completed,2010,2007,3
Hudson Greene West Tower,Jersey City,concrete,48,152.82,completed,2010,2006,4
Met 2 Marriott Marquis,Miami,concrete,41,153.07,completed,2010,2007,3
215 West,Chicago,concrete,50,155.06,completed,2010,2008,2
Hudson Greene East Tower,Jersey City,concrete,48,155.14,completed,2010,2006,4
William Beaver House,New York City,concrete,47,160.78,completed,2010,2006,4
The Brooklyner,New York City,concrete,52,162,completed,2010,2008,2
The Vue,Charlotte,concrete,50,175.5,completed,2010,2008,2
The Grant,Chicago,concrete,54,181.3,completed,2010,2008,2
Cosmopolitan Casino Beach Club Tower,Las Vegas,concrete/steel,50,183.95,completed,2010,2006,4
Cosmopolitan Casino Spa Tower,Las Vegas,concrete/steel,52,183.95,completed,2010,2006,4
Eventi,New York City,concrete,46,187.15,completed,2010,2007,3
One Madison Park,New York City,concrete,50,189.28,completed,2010,2006,4
W New York Downtown Hotel & Residences,New York City,concrete,57,192.11,completed,2010,2006,4
Langham Place,New York City,concrete,59,192.58,completed,2010,2007,3
Four Seasons Hotel & Private Residences,Denver,concrete,45,194.75,completed,2010,2007,3
Wells Fargo Tower,Miami,concrete/steel,47,199.5,completed,2010,2007,3
Ritz-Carlton/Marriott Marquis Los Angeles,Los Angeles,steel,54,203.28,completed,2010,2007,3
The Austonian,Austin,concrete,56,208.15,completed,2010,2007,3
Blue Cross-Blue Shield Tower,Chicago,composite,54,226.72,completed,2010,2007,3
Goldman Sachs Headquarters,New York City,steel,44,228.3,completed,2010,2005,5
Duke Energy Center,Charlotte,concrete/steel,48,239.7,completed,2010,2007,3
The Legacy at Millennium Park,Chicago,concrete,73,249.33,completed,2010,2007,3
HL23,New York City,steel,14,53.67,completed,2011,2008,3
West Sixth Tempe Tower 1,Tempe,concrete,22,78.64,completed,2011,2005,6
Omni Dallas Hotel,Dallas,concrete,23,86,completed,2011,2009,2
Liberty Luxe,New York City,concrete,32,97.54,completed,2011,2009,2
3 Columbus Circle,New York City,steel,26,102,completed,2011,2008,3
West Sixth Tempe Tower 2,Tempe,concrete,30,105.16,completed,2011,2005,6
JW Marriott Indianapolis Downtown,Indianapolis,concrete,34,114.71,completed,2011,2008,3
99 West City Creek Condominium Tower,Salt Lake City,concrete,30,114.91,completed,2011,2008,3
The Aldyn,New York City,concrete,38,120.4,completed,2011,2009,2
The Monaco North Tower,Jersey City,concrete,47,138.7,completed,2011,2009,2
The Monaco South Tower,Jersey City,concrete,47,138.7,completed,2011,2009,2
Atlantic Wharf,Boston,composite,31,139,completed,2011,2007,4
Brickell World Plaza at 600 Brickell,Miami,concrete/steel,40,147.53,completed,2011,2007,4
Tower 111,New York City,concrete,48,169,completed,2011,2009,2
Eleven Times Square,New York City,composite,40,183.1,completed,2011,2007,4
BG Group Place,Houston,concrete,46,192.74,completed,2011,2008,3
1 MiMA Tower,New York City,concrete,63,194.55,completed,2011,2007,4
Great American Tower at Queen City Square,Cincinnati,composite,40,202.69,completed,2011,2008,3
Eight Spruce Street,New York City,concrete,76,265.18,completed,2011,2006,5
Reva and David Logan Center for Arts,Chicago,concrete/steel,11,51.1,completed,2012,2010,2
Kaleida Health GVI and UB CRTC,Buffalo,steel,10,57.53,completed,2012,2009,3
Ronald McDonald House,Chicago,concrete,15,60.37,completed,2012,2010,2
SoNo East Tower,Chicago,concrete,22,74,completed,2012,2010,2
Rush University Medical Center Hospital Tower,Chicago,composite,14,76.96,completed,2012,2008,4
The Tree House Residence Hall at Massachusetts College of Art and Design,Boston,steel,21,85.34,completed,2012,2010,2
The Gateway,New Brunswick,concrete,22,90.83,completed,2012,2010,2
U.S. Federal Courthouse,San Diego,steel,16,101.5,completed,2012,2009,3
Mercedes House,New York City,concrete,32,106.1,completed,2012,2009,3
Octavius Tower,Las Vegas,steel,23,106.68,completed,2012,2008,4
The Admiral at the Lake,Chicago,concrete,32,112.17,completed,2012,2008,4
Pacifica Honolulu,Honolulu,concrete,46,127.4,completed,2012,2007,5
Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago,composite,22,136.19,completed,2012,2008,4
"Roosevelt University Academic, Student Life Residence Center",Chicago,concrete/steel,32,143,completed,2012,2010,2
Lincoln Park 2550,Chicago,concrete,39,145.54,completed,2012,2009,3
The Ritz-Carlton Residences,Chicago,concrete,40,150.85,completed,2012,2009,3
1214 Fifth Avenue,New York City,concrete,43,156.41,completed,2012,2010,2
Revel Resort and Casino,Atlantic City,concrete,53,218.92,completed,2012,2007,5
Devon Energy Center,Oklahoma City,concrete,52,257.23,completed,2012,2009,3
Clark and Grand Hotels,Chicago,concrete,19,57.76,completed,2013,2011,2
The John and Frances Angelos Law Center,Baltimore,concrete,12,70.5,completed,2013,2010,3
The Martin,Seattle,composite,23,77.72,completed,2013,2012,1
SkyHouse Orlando,Orlando,concrete,23,80,completed,2013,2012,1
Via6 North Tower,Seattle,concrete,24,81.4,completed,2013,2011,2
Via6 South Tower,Seattle,concrete,24,81.4,completed,2013,2011,2
Omni Hotel,Nashville,concrete,21,85.44,completed,2013,2011,2
22 Skyview,Miami,concrete,31,87.2,completed,2013,2012,1
Viceroy New York,New York City,concrete,29,91.1,completed,2013,2011,2
Skye Building,Charlotte,steel,22,94.5,completed,2013,2006,7
Gotham West,New York City,concrete,31,97.84,completed,2013,2011,2
Hilton Hotel at 54th,New York City,concrete,34,103.94,completed,2013,2011,2
The Moderne,Milwaukee,concrete,30,106.07,completed,2013,2011,2
45-40 Center Boulevard,New York City,concrete,32,106.7,completed,2013,2011,2
2116 Chestnut,Philadelphia,concrete,34,108.5,completed,2013,2012,1
Edith Green-Wendell Wyatt Federal Building,Portland,steel,18,110,completed,2013,2010,3
K2 at K Station,Chicago,concrete,33,111.56,completed,2013,2011,2
45-45 Center Boulevard,New York City,concrete,40,118.9,completed,2013,2011,2
Walker Tower,New York City,steel,24,119.63,completed,2013,2011,2
46-15 Center Boulevard,New York City,concrete,41,121.92,completed,2013,2011,2
Linc LIC,New York City,concrete,41,130.75,completed,2013,2011,2
Hubbard Place,Chicago,concrete,44,136.96,completed,2013,2012,1
The Dylan,New York City,concrete,34,137.77,completed,2013,2011,2
Coast at Lakeshore East,Chicago,concrete,47,142.22,completed,2013,2011,2
500 North Lake Shore Drive,Chicago,concrete,47,151.49,completed,2013,2011,2
International Gem Tower,New York City,steel,34,152.66,completed,2013,2008,5
AMLI River North,Chicago,concrete,49,165.48,completed,2013,2011,2
Hyatt Times Square,New York City,concrete,53,167.64,completed,2013,2009,4
Museum Tower,Dallas,concrete,42,170.68,completed,2013,2010,3
250 West 55th Street,New York City,steel,40,183.43,completed,2013,2008,5
Courtyard & Residence Inn Manhattan/Central Park,New York City,concrete,67,229.62,completed,2013,2011,2
The Godfrey,Chicago,concrete/steel,16,55.56,completed,2014,2006,8
Eleven55 Ripley,Silver Spring,concrete,21,60.96,completed,2014,2012,2
170 Amsterdam Avenue,New York City,concrete,20,66.17,completed,2014,2012,2
315 on A,Boston,concrete,20,68.58,completed,2014,2012,2
160 East 22nd Street,New York City,concrete,21,70.4,completed,2014,2013,1
The Vermont East Tower,Los Angeles,concrete,22,75.3,completed,2014,2012,2
SkyHouse South,Atlanta,concrete,23,80,completed,2014,2013,1
Grand East,New York City,concrete,27,80.16,completed,2014,2011,3
SkyHouse Austin,Austin,concrete,23,80.47,completed,2014,2012,2
Avalon West Chelsea,New York City,concrete,27,81.69,completed,2014,2012,2
Twelve | Twelve,Nashville,concrete,23,82.3,completed,2014,2013,1
Franklin / Illinois Apartments,Chicago,concrete,26,82.9,completed,2014,2013,1
The Sovereign,Houston,concrete/steel,21,85.35,completed,2014,2012,2
Nic on Fifth,Minneapolis,concrete,26,88.09,completed,2014,2012,2
8th and Main Tower,Boise,concrete/steel,18,96,completed,2014,2012,2
The Vermont West Tower,Los Angeles,concrete,29,97.1,completed,2014,2012,2
Avalon Exeter,Boston,steel,28,97.5,completed,2014,2011,3
Flagler on the River,Miami,concrete,32,97.84,completed,2014,2013,1
The Lara,New York City,concrete,30,98.45,completed,2014,2012,2
Abington House on the Highline,New York City,concrete,33,99,completed,2014,2012,2
MyBrickell,Miami,concrete,25,99.4,completed,2014,2012,2
Post Oak,Houston,concrete,29,100.6,completed,2014,2012,2
LPM Apartments,Minneapolis,concrete,36,114.1,completed,2014,2012,2
Northwestern Medicine 259 East Erie,Chicago,concrete/steel,26,117.47,completed,2014,2012,2
1812 North Moore Street,Arlington,concrete,30,117.81,completed,2014,2011,3
Hilton Garden Inn,New York City,concrete,37,123.44,completed,2014,2012,2
Two Sutton Place North,New York City,concrete,41,128.17,completed,2014,2012,2
Evo at Cira Centre South,Philadelphia,concrete,36,130,completed,2014,2013,1
BKLYN Air,New York City,concrete,39,131.67,completed,2014,2008,6
Optima Chicago Center,Chicago,concrete,42,134.9,completed,2014,2011,3
66 Rockwell Place,New York City,concrete,42,139.3,completed,2014,2011,3
Summit on Lake,Chicago,concrete,42,145.54,completed,2014,2012,2
The Modern Tower A,Fort Lee,concrete,47,151.8,completed,2014,2012,2
BrickellHouse,Miami,concrete,48,155.04,completed,2014,2012,2
One Rincon Hill North Tower,San Francisco,steel,45,165,completed,2014,2012,2
388 Bridge Street,New York City,concrete,51,179.83,completed,2014,2012,2
Hawthorn Park,New York City,concrete,54,182.25,completed,2014,2012,2
OneEleven,Chicago,concrete,58,186.77,completed,2014,2013,1
4 World Trade Center,New York City,composite,65,297.73,completed,2014,2008,6
One57,New York City,concrete/steel,75,306.07,completed,2014,2009,5
One World Trade Center,New York City,composite,94,541.3,completed,2014,2006,8
The Crimson,Miami,concrete,18,61.6,completed,2015,2013,2
Hyatt Place,Chicago,concrete,17,64.4,completed,2015,2014,1
Hilton Garden Inn,Chicago,concrete,25,77.42,completed,2015,2014,1
Sunset and Gordon,Los Angeles,concrete,23,79.2,completed,2015,2012,3
Hotel Indigo on Orchard Street,New York City,steel,24,79.85,completed,2015,2004,11
Seven,Austin,concrete,24,80.16,completed,2015,2013,2
480 Main Street,New York City,concrete,21,81,completed,2015,2014,1
SkyHouse Houston,Houston,concrete,24,83.82,completed,2015,2013,2
The Summit at University City,Philadelphia,concrete,24,85,completed,2015,2014,1
Frost Tower,Dallas,concrete,22,85.04,completed,2015,2013,2
SkyHouse River Oaks,Houston,concrete,25,86.6,completed,2015,2014,1
551 West 21st Street,New York City,concrete,19,88.39,completed,2015,2013,2
One Light,Kansas City,concrete,25,91.4,completed,2015,2014,1
Purves I,New York City,concrete,28,93.9,completed,2015,2014,1
4Marq,Minneapolis,concrete,30,94.79,completed,2015,2014,1
29-07 Queens Plaza North,New York City,concrete,31,100,completed,2015,2013,2
220 West 41st Street,New York City,concrete,30,101.2,completed,2015,2013,2
35XV Residences,New York City,concrete/steel,25,102,completed,2015,2012,3
Cielo,Seattle,composite,31,102.1,completed,2015,2013,2
301 East 50th Street,New York City,concrete,29,104.25,completed,2015,2013,2
Eight O Five,Chicago,concrete,33,105.2,completed,2015,2013,2
One Riverside Park,New York City,concrete,33,105.2,completed,2015,2013,2
Hunter's Point South Tower 2,New York City,concrete,32,108,completed,2015,2013,2
Halcyon,New York City,concrete,32,109.73,completed,2015,2007,8
Bay House Miami Residences,Miami,concrete,36,110,completed,2015,2013,2
Arkadia Tower,Chicago,concrete,33,112.42,completed,2015,2013,2
The One,Jersey City,concrete,35,114.3,completed,2015,2013,2
535 Mission Street,San Francisco,composite,26,115.37,completed,2015,2008,7
NINE at Mary Brickell Village,Miami,concrete,34,115.5,completed,2015,2004,11
33 Beekman Street,New York City,concrete,34,117,completed,2015,2013,2
The Metropolitan at the 9,Cleveland,composite,28,119,completed,2015,2013,2
325 LEX,New York City,concrete,31,119.79,completed,2015,2012,3
1N4th,New York City,concrete,41,121.3,completed,2015,2012,3
The Charles,New York City,concrete,31,121.31,completed,2015,2013,2
Hunter's Point South Tower 1,New York City,concrete,37,123.1,completed,2015,2013,2
JW Marriott Convention Hotel,Austin,concrete,34,124.4,completed,2015,2012,3
801 South Street Building A,Honolulu,concrete,46,126.03,completed,2015,2013,2
The Bowie,Austin,concrete,37,128.9,completed,2015,2012,3
Waihonua at Kewalo,Honolulu,concrete,43,129.8,completed,2015,2013,2
218 West 35th Street,New York City,concrete,39,131.67,completed,2015,2013,2
Insignia South Tower,Seattle,concrete,41,134,completed,2015,2012,3
Cirrus,Seattle,concrete,39,134.1,completed,2015,2013,2
Premier on Pine,Seattle,concrete,39,135.33,completed,2015,2012,3
Chateau Beach Residences,Sunny Isles Beach,concrete,34,136.8,completed,2015,2012,3
7 Bryant Park,New York City,composite,29,137.41,completed,2015,2013,2
1100 Millicento Residences,Miami,concrete,42,143.3,completed,2015,2012,3
135 West 52nd Street,New York City,concrete,46,144.78,completed,2015,2013,2
400 Park Avenue South,New York City,concrete,42,144.98,completed,2015,2012,3
160 Madison Avenue,New York City,concrete,42,146.3,completed,2015,2013,2
Regalia,Sunny Isles Beach,concrete,43,147.75,completed,2015,2011,4
99 Washington Street,New York City,concrete,50,147.78,completed,2015,2011,4
Icon Bay,Miami,concrete,42,150.57,completed,2015,2013,2
70 Columbus,Jersey City,concrete,50,161.39,completed,2015,2013,2
2929 Weslayan,Houston,concrete,40,162.5,completed,2015,2013,2
455 North Park Drive ?Loews Chicago Hotel,Chicago,concrete,49,166.57,completed,2015,2012,3
50 United Nations Plaza,New York City,concrete,44,167,completed,2015,2012,3
The Tower at PNC Plaza,Pittsburgh,composite,33,172,completed,2015,2012,3
Avalon Willoughby West,New York City,concrete,57,181.66,completed,2015,2013,2
Baccarat Hotel & Residences,New York City,concrete,46,184.51,completed,2015,2012,3
Mansions at Acqualina,Sunny Isles Beach,concrete,46,196,completed,2015,2012,3
Sky,New York City,concrete,61,206,completed,2015,2008,7
432 Park Avenue,New York City,concrete,85,425.5,completed,2015,2011,4
City Hyde Park,Chicago,concrete,14,52.39,completed,2016,2014,2
Wolf Point West Tower,Chicago,concrete,48,148.08,completed,2016,2014,2
Amazon Tower I,Seattle,composite,37,159.72,completed,2016,2013,3
